,index,days_cancel,severe_toxicity,group
183,183,0.0,0.12994984158073034,kpop
184,184,1.0,0.130164404479794,kpop
185,185,2.0,0.1337544463425362,kpop
186,186,3.0,0.14089860046200486,kpop
187,187,4.0,0.14214248929349846,kpop
188,188,5.0,0.14238335094963855,kpop
189,189,6.0,0.14388518333261488,kpop
190,190,7.0,0.14011222920777147,kpop
191,191,8.0,0.13845847786766016,kpop
192,192,9.0,0.13841476194813146,kpop
193,193,10.0,0.13481034729498031,kpop
194,194,11.0,0.1384907422161032,kpop
195,195,12.0,0.1377733929993558,kpop
196,196,13.0,0.13831413079800248,kpop
197,197,14.0,0.1417626390979248,kpop
198,198,15.0,0.13989547248096945,kpop
199,199,16.0,0.1383437998197069,kpop
200,200,17.0,0.136799017280633,kpop
201,201,18.0,0.12799380827693976,kpop
202,202,19.0,0.1305287593463497,kpop
203,203,20.0,0.1315191892685812,kpop
204,204,21.0,0.1296809857751331,kpop
205,205,22.0,0.13222344945257364,kpop
206,206,23.0,0.13623864424258236,kpop
207,207,24.0,0.13865236380813134,kpop
208,208,25.0,0.14116989841034175,kpop
209,209,26.0,0.13692846919522236,kpop
210,210,27.0,0.13754906896507085,kpop
211,211,28.0,0.13288581128335727,kpop
212,212,29.0,0.12932974970457506,kpop
213,213,30.0,0.12369772460840435,kpop
214,214,31.0,0.12394677734946855,kpop
215,215,32.0,0.12724313518908933,kpop
216,216,33.0,0.12958168972359504,kpop
217,217,34.0,0.12550997399672703,kpop
218,218,35.0,0.13192455684477145,kpop
219,219,36.0,0.13476067124477698,kpop
220,220,37.0,0.13994927455947512,kpop
221,221,38.0,0.14112290683839487,kpop
222,222,39.0,0.139949763092577,kpop
223,223,40.0,0.13805440728634763,kpop
224,224,41.0,0.13552703449358364,kpop
225,225,42.0,0.13475838573278667,kpop
226,226,43.0,0.1317060636350425,kpop
227,227,44.0,0.13021563679916526,kpop
228,228,45.0,0.1252962806690396,kpop
229,229,46.0,0.12638944527052748,kpop
230,230,47.0,0.1235927605047711,kpop
231,231,48.0,0.12875176894515475,kpop
232,232,49.0,0.12775800645045116,kpop
233,233,50.0,0.13305092730163776,kpop
234,234,51.0,0.1319939767861026,kpop
235,235,52.0,0.1327361327527563,kpop
236,236,53.0,0.1312598577690105,kpop
237,237,54.0,0.13960390237449313,kpop
238,238,55.0,0.14048196450329015,kpop
239,239,56.0,0.1369393386513463,kpop
240,240,57.0,0.13396060021554834,kpop
241,241,58.0,0.13350213801195038,kpop
242,242,59.0,0.13605123321497858,kpop
243,243,60.0,0.1379110281867681,kpop
