,index,days_cancel,insult,group
193,193,7.0,0.2813152628388641,female
194,194,8.0,0.2697673189993639,female
195,195,9.0,0.2697673189993639,female
196,196,10.0,0.2566294665846515,female
197,197,11.0,0.2566294665846515,female
198,198,12.0,0.24911021067352485,female
199,199,13.0,0.24365737903990814,female
200,200,14.0,0.24365737903990814,female
201,201,15.0,0.24365737903990814,female
202,202,16.0,0.24365737903990814,female
203,203,17.0,0.23949646337334357,female
204,204,18.0,0.2329675658484881,female
205,205,19.0,0.2329675658484881,female
206,206,20.0,0.23151547903709904,female
207,207,21.0,0.23151547903709904,female
208,208,22.0,0.23740583989064806,female
209,209,23.0,0.23821607524435184,female
210,210,24.0,0.23740583989064806,female
211,211,25.0,0.23821607524435184,female
212,212,26.0,0.2383134978245371,female
213,213,27.0,0.2383134978245371,female
214,214,28.0,0.23360936862146256,female
215,215,29.0,0.23993062953477656,female
216,216,30.0,0.23326841052232927,female
217,217,31.0,0.23326841052232927,female
218,218,32.0,0.23326841052232927,female
219,219,33.0,0.23326841052232927,female
220,220,34.0,0.23326841052232927,female
221,221,35.0,0.24075738270437486,female
222,222,36.0,0.2371042124060747,female
223,223,37.0,0.2373306219384853,female
224,224,38.0,0.2373306219384853,female
225,225,39.0,0.2371042124060747,female
226,226,40.0,0.2350024951312036,female
227,227,41.0,0.2350024951312036,female
228,228,42.0,0.23355271815563822,female
229,229,43.0,0.23306251212120013,female
230,230,44.0,0.2350024951312036,female
231,231,45.0,0.23226503511621438,female
232,232,46.0,0.23226503511621438,female
233,233,47.0,0.225120011758775,female
234,234,48.0,0.22275819504090183,female
235,235,49.0,0.22275819504090183,female
236,236,50.0,0.21850415613981916,female
237,237,51.0,0.21850415613981916,female
238,238,52.0,0.22405208459635517,female
239,239,53.0,0.22757674953805365,female
240,240,54.0,0.22757674953805365,female
241,241,55.0,0.22757674953805365,female
242,242,56.0,0.22757674953805365,female
243,243,57.0,0.22757674953805365,female
244,244,58.0,0.22648510169117514,female
245,245,59.0,0.22648510169117514,female
246,246,60.0,0.22648510169117514,female
247,247,61.0,0.22648510169117514,female
248,248,62.0,0.2261327139613991,female
249,249,63.0,0.22584315264937466,female
250,250,64.0,0.22584315264937466,female
251,251,65.0,0.23023670102135707,female
252,252,66.0,0.23023670102135707,female
253,253,67.0,0.23023670102135707,female
254,254,68.0,0.23023670102135707,female
255,255,69.0,0.23023670102135707,female
256,256,70.0,0.22534823517397284,female
257,257,71.0,0.2221062162517588,female
258,258,72.0,0.22028057362754794,female
259,259,73.0,0.2200083866742041,female
260,260,74.0,0.2193977877726745,female
261,261,75.0,0.2200083866742041,female
262,262,76.0,0.22028057362754794,female
263,263,77.0,0.22049834575135008,female
264,264,78.0,0.2239279540432217,female
265,265,79.0,0.2239279540432217,female
266,266,80.0,0.22585251449680505,female
267,267,81.0,0.22585251449680505,female
268,268,82.0,0.23109657590976518,female
269,269,83.0,0.24951653117938766,female
270,270,84.0,0.24951653117938766,female
271,271,85.0,0.2793003496334445,female
272,272,86.0,0.2793003496334445,female
273,273,87.0,0.2803198292875954,female
274,274,88.0,0.2845128772781259,female
275,275,89.0,0.2845128772781259,female
276,276,90.0,0.2884249181546491,female
277,277,91.0,0.2884249181546491,female
278,278,92.0,0.2895186871271688,female
279,279,93.0,0.28443864541202807,female
280,280,94.0,0.28443864541202807,female
281,281,95.0,0.27192918744055533,female
282,282,96.0,0.26312323171592256,female
283,283,97.0,0.25813343936196953,female
284,284,98.0,0.24984611843430646,female
285,285,99.0,0.24530518245350863,female
286,286,100.0,0.24458163890569784,female
287,287,101.0,0.24458163890569784,female
288,288,102.0,0.24458163890569784,female
289,289,103.0,0.24458163890569784,female
290,290,104.0,0.24458163890569784,female
291,291,105.0,0.24980165329422313,female
292,292,106.0,0.24980165329422313,female
